Key,Town,Founded,Population
1,Moscow,1147,12615882
1,Podolsk,1627,302831
1,Dolgoprudny,1931,111930
2,Rostov-on-Done,1749,1130305
2,Volgodonsk,1950,171851
3,Ufa,1574,1120547
4,Stavropol,1777,433931
5,Chelyabinsk,1736,1202371
5,Magnitogorsk,1929,416521
6,Makhachkala,1844,596356
6,Derbent,1840,124677
7,Nizhny_Novgorod,1221,1259013
7,Dzerghinsk,1861,234284
7,Arzamas,1578,104547
8,Ekaterinburg,1723,1484456
8,Nizhny_Tagil,1722,353950
8,Kamensk-Uralskiy,1935,168997
8,Pervouralsk,1732,123655
9,Samara,1586,1163399
9,Tolliati,1737,707408
9,Syzran,1683,173260
9,Novokuybishevsk,1946,102933
10,Saratov,1590,844858
10,Engels,1747,226176
10,Balakovo,1762,189829
11,Irkutsk,1661,623869
11,Angarsk,1948,226374
11,Bratsk,1955,231602
12,Kraskoyarsk,1628,1095286
12,Achinsk,1782,105259
12,Norilsk,1953,179554
